               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.045831,            0.027246,           0.0020666,              0.8099,             0.69842,              0.7862,             0.36569,            0.044613,            0.015353,           0.0034111,           0.0030109,           0.0030109,            0.062411
                  37,            0.045964,            0.026096,           0.0021269,             0.73202,             0.76884,             0.75257,             0.30852,            0.045771,            0.015534,           0.0019987,           0.0030387,           0.0030387,            0.061339
                  38,            0.045241,            0.023975,           0.0027136,              0.7244,             0.68806,             0.70122,             0.27335,            0.048405,            0.016421,           0.0022943,            0.003063,            0.003063,            0.060263
                  39,            0.047018,            0.025751,           0.0023541,             0.71491,             0.78514,             0.77171,             0.28466,            0.048487,            0.015022,            0.001971,           0.0030837,           0.0030837,            0.059184
                  40,             0.04465,            0.024668,           0.0024002,             0.72066,             0.81319,              0.7897,             0.34281,            0.044087,            0.015235,           0.0018139,           0.0031008,           0.0031008,            0.058101
                  41,            0.046323,            0.024489,           0.0023759,             0.74067,              0.7516,             0.77603,             0.33768,            0.046751,            0.015308,           0.0028405,           0.0031143,           0.0031143,            0.057014
                  42,            0.044582,            0.026426,           0.0019986,             0.70902,             0.77951,              0.7589,               0.342,            0.046535,            0.015353,           0.0027672,           0.0031242,           0.0031242,            0.055924
                  43,            0.043384,            0.027869,           0.0017178,             0.79176,             0.78221,             0.79298,             0.37949,            0.044401,            0.015412,           0.0025807,           0.0031306,           0.0031306,            0.054831
                  44,             0.04254,            0.026458,           0.0020179,             0.73103,             0.69856,             0.73021,              0.3162,            0.045596,            0.015834,           0.0028131,           0.0031335,           0.0031335,            0.053734
                  45,            0.048929,            0.025745,            0.002107,              0.5421,             0.66117,             0.58955,             0.24074,            0.051675,            0.014948,            0.002046,            0.003133,            0.003133,            0.052633
                  46,            0.053503,            0.023835,           0.0023248,             0.59762,             0.69602,             0.61993,             0.25166,             0.05208,            0.015435,           0.0027354,            0.003129,            0.003129,            0.051529
                  47,            0.052222,            0.026051,           0.0023224,             0.74147,             0.61129,             0.68675,             0.24272,            0.051653,            0.015496,           0.0039886,           0.0031217,           0.0031217,            0.050422
                  48,            0.052113,            0.024534,           0.0023587,             0.67877,             0.68825,             0.70654,             0.27414,            0.049289,            0.015951,           0.0035822,            0.003111,            0.003111,            0.049311
                  49,            0.052349,            0.024833,           0.0021901,             0.74272,             0.62494,              0.7124,             0.28092,            0.050271,            0.015578,           0.0027873,           0.0030971,           0.0030971,            0.048197
                  50,            0.048873,            0.024079,           0.0025191,             0.74538,             0.63411,             0.72954,             0.31065,            0.048008,            0.015317,           0.0027774,             0.00308,             0.00308,             0.04708
                  51,            0.050045,            0.023976,           0.0023782,             0.74058,             0.62915,             0.71137,             0.30741,            0.045383,            0.016302,           0.0029357,           0.0030598,           0.0030598,             0.04596
                  52,            0.046496,            0.025341,           0.0023463,             0.76853,             0.68806,             0.77257,              0.3519,            0.046154,            0.014656,           0.0017917,           0.0030366,           0.0030366,            0.044837
                  53,            0.045693,            0.024665,           0.0017736,             0.81456,             0.75096,             0.81003,             0.35769,            0.046273,            0.014937,           0.0023464,           0.0030104,           0.0030104,             0.04371
                  54,            0.044892,            0.022733,           0.0019355,             0.65878,             0.70658,             0.72527,             0.30578,            0.046344,             0.01676,            0.002347,           0.0029813,           0.0029813,            0.042581
                  55,            0.043671,            0.024889,           0.0018574,             0.78001,             0.73308,             0.78044,             0.29469,            0.048168,            0.014854,           0.0018117,           0.0029496,           0.0029496,             0.04145
                  56,            0.045585,            0.024832,           0.0021907,             0.79691,             0.69967,             0.76211,             0.32519,            0.047732,             0.01499,           0.0017622,           0.0029151,           0.0029151,            0.040315
                  57,            0.042398,            0.023318,           0.0021712,             0.77265,              0.6788,              0.7498,             0.36599,            0.046729,            0.015281,           0.0026892,           0.0028782,           0.0028782,            0.039178
                  58,            0.041884,            0.022824,           0.0019521,             0.75086,             0.80823,              0.7974,             0.36011,            0.045378,            0.015018,           0.0015101,           0.0028388,           0.0028388,            0.038039
                  59,            0.042678,            0.023619,           0.0017364,             0.72561,             0.62296,             0.65099,             0.28698,            0.045865,            0.016328,            0.003491,           0.0027972,           0.0027972,            0.036897
                  60,            0.042149,            0.022295,           0.0021923,             0.79553,             0.75945,               0.793,             0.34126,            0.048879,            0.015054,            0.001802,           0.0027533,           0.0027533,            0.035753
                  61,            0.040198,            0.022663,           0.0018389,             0.81096,             0.76943,             0.82745,              0.3788,            0.042927,             0.01513,           0.0013742,           0.0027074,           0.0027074,            0.034607
                  62,            0.039963,            0.024583,           0.0015756,             0.79015,              0.7509,             0.81533,             0.38662,            0.042614,            0.014919,           0.0018417,           0.0026597,           0.0026597,             0.03346
                  63,             0.04005,             0.02375,           0.0017215,               0.799,             0.74516,             0.80163,             0.39215,            0.043506,            0.015043,           0.0020726,           0.0026101,           0.0026101,             0.03231
                  64,            0.038904,            0.022138,           0.0018959,             0.73203,             0.82333,             0.80136,             0.38383,            0.044627,            0.014773,            0.001734,            0.002559,            0.002559,            0.031159
                  65,            0.036198,            0.023759,           0.0014361,             0.71024,             0.82918,              0.7839,             0.34714,             0.04462,            0.014798,           0.0014739,           0.0025064,           0.0025064,            0.030006
                  66,             0.04133,            0.023148,           0.0012536,             0.80202,             0.68281,             0.71759,             0.31396,            0.045006,            0.015833,           0.0016932,           0.0024524,           0.0024524,            0.028852
                  67,            0.040701,            0.023156,           0.0016198,             0.69916,             0.82248,             0.78655,             0.34217,            0.044034,            0.015465,           0.0025459,           0.0023974,           0.0023974,            0.027697
                  68,             0.03651,            0.021543,           0.0014931,               0.717,             0.81079,             0.75425,             0.31888,            0.047854,            0.015312,           0.0022708,           0.0023413,           0.0023413,            0.026541
                  69,            0.036601,            0.024046,           0.0013444,             0.77885,             0.72342,             0.75531,             0.35464,            0.046107,            0.015925,           0.0021563,           0.0022844,           0.0022844,            0.025384
                  70,            0.037981,            0.023351,           0.0013117,             0.66145,             0.77069,             0.71052,             0.29677,            0.045076,             0.01636,           0.0021551,           0.0022269,           0.0022269,            0.024227
                  71,              0.0359,            0.021635,            0.001211,             0.71436,             0.75885,             0.73254,             0.31982,            0.043739,            0.016683,           0.0020769,           0.0021689,           0.0021689,            0.023069
                  72,            0.037598,            0.022014,              0.0015,             0.81086,             0.74968,             0.80781,             0.37374,            0.043654,            0.015242,           0.0023206,           0.0021105,           0.0021105,            0.021911
                  73,            0.035874,            0.022231,           0.0012978,             0.76334,             0.69456,             0.76077,             0.35219,            0.042245,            0.015902,           0.0028603,           0.0020521,           0.0020521,            0.020752
                  74,            0.036984,            0.020004,           0.0013761,              0.6794,             0.82844,              0.7855,             0.36535,            0.043295,            0.015507,           0.0022112,           0.0019937,           0.0019937,            0.019594
                  75,            0.035526,            0.022113,           0.0016638,             0.67766,             0.82748,             0.77634,             0.33952,            0.042426,            0.015764,           0.0020333,           0.0019355,           0.0019355,            0.018436
                  76,            0.035539,             0.02135,           0.0014766,             0.74552,             0.75969,             0.75186,             0.30211,            0.044561,            0.016088,           0.0024621,           0.0018778,           0.0018778,            0.017278
                  77,            0.035524,            0.021852,           0.0011773,              0.6586,             0.84887,             0.77955,             0.34525,            0.044519,            0.015663,           0.0026894,           0.0018207,           0.0018207,            0.016121
                  78,            0.035989,            0.021641,           0.0010408,             0.78915,             0.78608,             0.81547,             0.36192,            0.043679,            0.015559,           0.0020656,           0.0017644,           0.0017644,            0.014964
                  79,            0.034473,            0.020105,           0.0010276,             0.80818,             0.75794,             0.80156,              0.3681,            0.043538,            0.015574,           0.0018981,            0.001709,            0.001709,            0.013809
                  80,            0.033857,            0.021957,           0.0014003,             0.81232,             0.72382,             0.79083,             0.36022,            0.043128,            0.016062,           0.0012915,           0.0016549,           0.0016549,            0.012655
                  81,               0.034,            0.022468,           0.0011817,              0.7527,             0.77746,             0.79446,             0.35799,            0.044423,            0.015355,           0.0012078,           0.0016021,           0.0016021,            0.011502
                  82,             0.03161,            0.021158,           0.0011017,             0.78553,             0.75096,             0.79478,             0.38044,            0.043392,            0.015577,           0.0011412,           0.0015509,           0.0015509,            0.010351
                  83,            0.033319,            0.021558,           0.0012359,             0.67933,             0.87548,             0.79214,             0.35631,            0.042062,            0.015911,           0.0010504,           0.0015014,           0.0015014,           0.0092014
                  84,            0.033563,            0.022892,          0.00088647,             0.79009,              0.7763,              0.8043,             0.35611,            0.043577,            0.015487,            0.001347,           0.0014539,           0.0014539,           0.0080539
                  85,            0.033589,            0.021522,           0.0014794,             0.74664,             0.82951,             0.78436,             0.35241,            0.043063,            0.016277,           0.0015365,           0.0014085,           0.0014085,           0.0069085
                  86,            0.032439,            0.020916,           0.0012688,             0.79036,             0.76835,             0.77391,             0.34135,            0.043528,            0.016342,           0.0017605,           0.0013654,           0.0013654,           0.0057654
                  87,            0.030705,             0.02016,           0.0010107,             0.78038,             0.79739,             0.79575,             0.37919,            0.042123,            0.016394,           0.0020693,           0.0013249,           0.0013249,           0.0046249
                  88,            0.032565,            0.021069,           0.0010203,             0.77007,             0.74908,             0.76532,             0.37292,             0.04345,             0.01711,           0.0021694,           0.0012871,           0.0012871,           0.0034871
                  89,            0.032214,            0.021242,           0.0010996,             0.72877,              0.7682,             0.77091,             0.32713,             0.04366,            0.017489,            0.001766,           0.0012521,           0.0012521,           0.0023521
                  90,            0.032233,            0.021109,           0.0010868,              0.7457,             0.76113,             0.78212,             0.36338,            0.043178,            0.016736,           0.0021193,           0.0012202,           0.0012202,           0.0012202
                  91,            0.032314,            0.021622,           0.0010981,             0.77584,             0.69585,             0.74985,             0.34444,            0.044438,            0.016561,           0.0022173,           0.0012202,           0.0012202,           0.0012202
                  92,            0.031823,            0.021544,          0.00072417,             0.77698,             0.77796,             0.78431,             0.35852,            0.043648,            0.016334,           0.0017353,           0.0011787,           0.0011787,           0.0011787
                  93,            0.032028,            0.021673,           0.0010225,             0.79423,             0.72484,             0.76777,             0.34865,            0.043466,            0.016621,           0.0017866,           0.0011414,           0.0011414,           0.0011414
                  94,            0.030482,            0.020259,          0.00084573,             0.67678,             0.74776,             0.72693,             0.31253,            0.044398,            0.017305,           0.0017693,           0.0011084,           0.0011084,           0.0011084
                  95,            0.030456,            0.020755,           0.0008225,             0.85533,             0.69041,             0.78085,             0.36444,            0.042859,            0.017027,           0.0014819,           0.0010797,           0.0010797,           0.0010797
                  96,            0.030513,             0.02031,          0.00085853,               0.813,             0.73778,             0.78589,             0.34814,            0.044956,            0.016852,           0.0015646,           0.0010554,           0.0010554,           0.0010554
                  97,            0.031102,             0.01934,          0.00097594,             0.78234,             0.80396,             0.76627,              0.3324,            0.045017,            0.016677,          0.00092384,           0.0010355,           0.0010355,           0.0010355
                  98,             0.03046,            0.019905,           0.0010526,             0.77691,             0.74758,             0.75189,             0.34876,            0.044952,            0.016605,          0.00085128,             0.00102,             0.00102,             0.00102
                  99,            0.030309,            0.021113,           0.0007505,             0.73289,              0.8038,             0.76729,             0.36749,            0.044312,            0.016317,          0.00095666,           0.0010089,           0.0010089,           0.0010089
