               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11766,             0.02994,            0.032403,           0.0011279,            0.071429,          0.00038412,          5.8285e-05,             0.11048,            0.024109,            0.031867,               8e-05,               8e-05,             0.09928
                   1,             0.10677,            0.028047,            0.027642,           0.0057482,            0.071429,           0.0016116,          0.00023191,            0.096426,            0.020437,            0.025153,          0.00016996,          0.00016996,             0.09847
                   2,            0.098014,            0.026757,            0.022071,            0.003883,             0.42857,           0.0026124,          0.00064752,            0.086916,             0.01849,             0.01815,          0.00025977,          0.00025977,             0.09766
                   3,            0.092101,             0.02723,            0.018616,            0.033398,             0.40476,            0.027939,           0.0054194,            0.075836,            0.017414,            0.013908,           0.0003493,           0.0003493,            0.096849
                   4,            0.081952,             0.02802,            0.015004,            0.080292,             0.39286,            0.086576,            0.024488,             0.06719,            0.016998,           0.0095193,          0.00043844,          0.00043844,            0.096038
                   5,            0.074966,            0.028432,            0.011995,             0.33767,             0.57143,             0.27462,            0.053372,             0.06072,            0.016888,           0.0064975,          0.00052706,          0.00052706,            0.095227
                   6,            0.071444,            0.028992,            0.010021,             0.42957,             0.72227,             0.45442,             0.11456,            0.054566,            0.015945,           0.0042233,          0.00061506,          0.00061506,            0.094415
                   7,            0.067885,            0.027732,           0.0076701,             0.23892,             0.64286,             0.23085,            0.045644,            0.069935,            0.012936,           0.0028326,          0.00070231,          0.00070231,            0.093602
                   8,            0.067644,            0.025169,           0.0058279,             0.27139,               0.922,             0.39829,            0.090456,            0.057122,            0.013027,           0.0021417,          0.00078869,          0.00078869,            0.092789
                   9,            0.065615,            0.025028,           0.0050827,             0.21253,             0.78571,             0.26063,            0.047169,             0.06401,            0.011984,           0.0017278,           0.0008741,           0.0008741,            0.091974
                  10,            0.068677,            0.022112,           0.0043104,             0.58267,             0.48644,             0.56268,             0.12833,            0.055803,             0.01151,           0.0018609,          0.00095842,          0.00095842,            0.091158
                  11,             0.06212,            0.021917,           0.0040683,             0.51681,             0.65476,              0.5206,             0.12706,            0.061312,            0.010667,           0.0014092,           0.0010415,           0.0010415,            0.090342
                  12,            0.060689,             0.02143,           0.0035069,             0.61491,             0.53017,             0.59041,             0.18454,            0.056267,            0.010461,           0.0013047,           0.0011233,           0.0011233,            0.089523
                  13,            0.061939,            0.019952,           0.0034679,             0.58796,             0.52381,             0.43232,             0.10659,            0.063285,           0.0088904,           0.0013489,           0.0012037,           0.0012037,            0.088704
                  14,            0.060986,             0.01924,           0.0032287,             0.78776,             0.61905,             0.56285,             0.19048,            0.055482,           0.0085438,           0.0013339,           0.0012826,           0.0012826,            0.087883
                  15,            0.060479,            0.018943,           0.0027519,             0.30967,             0.83333,             0.40173,              0.1331,            0.063574,           0.0075852,           0.0013318,           0.0013599,           0.0013599,             0.08706
                  16,            0.059513,            0.017648,           0.0024847,             0.52016,             0.78571,             0.69892,             0.23601,            0.053674,           0.0076583,            0.001163,           0.0014354,           0.0014354,            0.086235
                  17,             0.05672,            0.016735,           0.0027555,             0.55353,             0.89286,             0.70622,             0.19149,            0.053793,           0.0081345,           0.0013189,           0.0015091,           0.0015091,            0.085409
                  18,            0.056478,            0.017963,           0.0026506,             0.77262,             0.72619,             0.73103,             0.23102,            0.053721,            0.007161,            0.001191,           0.0015809,           0.0015809,            0.084581
                  19,            0.055621,            0.016607,           0.0023103,             0.59792,             0.92857,             0.71857,             0.22449,            0.053529,           0.0074824,           0.0011224,           0.0016507,           0.0016507,            0.083751
                  20,            0.056897,            0.015809,           0.0021079,             0.63913,             0.82143,             0.82411,             0.30713,            0.045892,           0.0068193,           0.0012508,           0.0017184,           0.0017184,            0.082918
                  21,            0.053789,            0.015602,           0.0021306,             0.71055,             0.89286,             0.82064,             0.29226,            0.045938,           0.0071193,           0.0012102,            0.001784,            0.001784,            0.082084
                  22,            0.054035,            0.015192,           0.0019812,             0.78434,             0.85714,             0.91368,             0.40074,            0.040377,           0.0064803,            0.001116,           0.0018473,           0.0018473,            0.081247
                  23,            0.052046,            0.015491,           0.0019911,             0.61455,             0.80951,             0.70482,             0.24878,            0.057019,           0.0059325,            0.001142,           0.0019082,           0.0019082,            0.080408
                  24,            0.051583,            0.015394,           0.0020254,             0.47352,             0.85714,             0.68285,             0.19482,            0.052434,            0.005659,           0.0011907,           0.0019668,           0.0019668,            0.079567
                  25,             0.05048,            0.014236,           0.0019279,             0.54595,             0.85714,             0.68756,             0.19697,            0.056049,           0.0059286,           0.0010555,           0.0020229,           0.0020229,            0.078723
                  26,            0.050752,            0.013251,           0.0018064,              0.7909,             0.89591,             0.84936,             0.38697,            0.043722,           0.0061476,           0.0011111,           0.0020765,           0.0020765,            0.077876
                  27,            0.049137,            0.012933,           0.0019055,             0.76246,             0.91206,             0.83341,             0.31704,            0.044361,           0.0055241,           0.0011612,           0.0021275,           0.0021275,            0.077027
                  28,            0.047456,            0.013253,           0.0016172,             0.97035,             0.94027,             0.97506,              0.3022,            0.047356,            0.005727,           0.0011335,           0.0021758,           0.0021758,            0.076176
                  29,            0.048013,             0.01292,           0.0017074,             0.70364,             0.97312,             0.83052,             0.44231,             0.04363,           0.0051482,           0.0010464,           0.0022214,           0.0022214,            0.075321
                  30,            0.045827,            0.012543,           0.0016996,             0.85961,             0.85862,             0.92853,             0.31267,            0.042197,           0.0056258,           0.0011053,           0.0022643,           0.0022643,            0.074464
                  31,             0.04576,            0.012464,           0.0016676,              0.7889,             0.82143,             0.81681,             0.33401,            0.043183,            0.005476,           0.0010112,           0.0023044,           0.0023044,            0.073604
                  32,            0.044577,            0.012356,           0.0015678,             0.90133,             0.92857,             0.92853,             0.45299,            0.046114,           0.0053455,           0.0011671,           0.0023417,           0.0023417,            0.072742
                  33,            0.044972,            0.012728,           0.0014903,             0.82448,             0.85714,              0.8479,             0.31888,            0.044013,           0.0052143,           0.0010133,           0.0023762,           0.0023762,            0.071876
                  34,            0.042722,            0.012187,           0.0015166,              0.9563,             0.99669,               0.995,             0.50527,            0.035178,           0.0049196,           0.0010386,           0.0024077,           0.0024077,            0.071008
                  35,            0.041323,            0.012014,           0.0014218,             0.90452,             0.87899,             0.91514,             0.49589,            0.041288,           0.0050958,           0.0010544,           0.0024364,           0.0024364,            0.070136
